name,compound_id,charge,pk_d,n_h,n_mg,reference
(2-aminoethyl)phosphonate,metanetx.chemical:MNXM1692,-1,1.86336645521,7,1,Du 2018
(2-aminoethyl)phosphonate,metanetx.chemical:MNXM1692,-2,3.12136112373,6,1,Du 2018
(aminomethyl)phosphonate,metanetx.chemical:MNXM31427,-1,1.77336645521,5,1,Du 2018
(aminomethyl)phosphonate,metanetx.chemical:MNXM31427,-2,2.87173291041,4,1,Du 2018
(methyl)phosphonate,metanetx.chemical:MNXM19346,-2,2.71673291041,3,1,Du 2018
(R)-3-hydroxybutanoate,metanetx.chemical:MNXM663,-1,1.10799466852,7,1,Du 2018
(R)-3-phosphoglycerate,metanetx.chemical:MNXM126,-3,3.53919119267,4,1,Du 2018
(R)-lactate,metanetx.chemical:MNXM285,-1,1.43799466852,5,1,Du 2018
2-Chlorobenzoate,metanetx.chemical:MNXM3458,-1,1.28883316981,4,1,Du 2018
2-phospho-D-glycerate,metanetx.chemical:MNXM275,-3,3.927,4,1,Du 2018
"3,4,5-trihydroxybenzoate",metanetx.chemical:MNXM670,-1,1.476,5,1,Du 2018
3-hydroxybenzoic acid,metanetx.chemical:MNXM737,-1,1.148,5,1,Du 2018
4-Bromobenzoate,metanetx.chemical:MNXM37357,-1,1.65,4,1,Du 2018
4-methylbenzoic acid,metanetx.chemical:MNXM3331,-1,1.21266633963,7,1,Du 2018
4-nitrophenyl phosphate,metanetx.chemical:MNXM3867,-2,2.14673291041,4,1,Du 2018
5-phospho--D-ribose 1-diphosphate,metanetx.chemical:MNXM91,-3,0.631972009756,10,1,Du 2018
5-phospho--D-ribose 1-diphosphate,metanetx.chemical:MNXM91,-4,5.09197200976,9,1,Du 2018
5-phospho--D-ribose 1-diphosphate,metanetx.chemical:MNXM91,-5,5.73997334262,8,1,Du 2018
5-phospho--D-ribose 1-diphosphate,metanetx.chemical:MNXM91,-3,3.12398400557,8,2,Du 2018
acetate,metanetx.chemical:MNXM26,-1,1.03493714286,3,1,Du 2018
acetyl phosphate,metanetx.chemical:MNXM280,-1,2.31771600309,4,1,Du 2018
acetyl phosphate,metanetx.chemical:MNXM280,-2,2.37422852417,3,1,Du 2018
adenine,metanetx.chemical:MNXM168,0,2.71,5,1,Du 2018
adenine,metanetx.chemical:MNXM168,-1,3.47836645521,4,1,Du 2018
adenosine 3'-monophosphate,metanetx.chemical:MNXM1985,-2,2.74673291041,12,1,Du 2018
adenosine 5'-tetraphosphate,metanetx.chemical:MNXM1906,-4,4.43846582083,13,1,Du 2018
adenosine 5'-tetraphosphate,metanetx.chemical:MNXM1906,-5,6.36183227604,12,1,Du 2018
ADP,metanetx.chemical:MNXM7,-2,2.75928259323,13,1,Du 2018
ADP,metanetx.chemical:MNXM7,-3,4.55509936562,12,1,Du 2018
ADP,metanetx.chemical:MNXM7,-1,1.80126175811,12,2,Du 2018
ammonia,metanetx.chemical:MNXM15,0,0.21,3,1,Du 2018
AMP,metanetx.chemical:MNXM14,-1,0.428366455207,13,1,Du 2018
AMP,metanetx.chemical:MNXM14,-2,2.80836645521,12,1,Du 2018
