mnx_prefix	identifiers_prefix
bigg	bigg.metabolite
chebi	chebi
hmdb	hmdb
kegg	kegg
lipidmaps	lipidmaps
metacyc	metacyc.compound
reactome	reactome
sabiork	sabiork.compound
seed	seed
slm	swisslipid
metanetx.chemical	metanetx.chemical
deprecated	metanetx.chemical
